2026-01-18 15:38:59,778 | INFO | tripclick-producer | START file=/home/ubuntu/server1/date=2026-01-01/events.json topic=tripclick_raw_logs brokers=['10.0.0.207:9092', '10.0.0.207:9093', '10.0.0.207:9094']
2026-01-18 15:38:59,976 | INFO | tripclick-producer | progress sent=1000 topic=tripclick_raw_logs last_session=nur21p3iwwq4idrc5vplqoe3 event_ts=2026-01-01T15:01:42.983078+00:00
2026-01-18 15:39:00,042 | INFO | tripclick-producer | progress sent=2000 topic=tripclick_raw_logs last_session=fhrxmvy1lg4xc2zxtjlr1i45 event_ts=2026-01-01T15:02:51.105117+00:00
2026-01-18 15:39:00,139 | INFO | tripclick-producer | progress sent=3000 topic=tripclick_raw_logs last_session=0c1wvnbz2t2t4v553d0h4f55 event_ts=2026-01-01T15:04:12.701111+00:00
2026-01-18 15:39:00,207 | INFO | tripclick-producer | progress sent=4000 topic=tripclick_raw_logs last_session=lizydo2osaoyaq55cxpmpz45 event_ts=2026-01-01T15:04:51.414008+00:00
2026-01-18 15:39:00,286 | INFO | tripclick-producer | progress sent=5000 topic=tripclick_raw_logs last_session=5pqkwh45tsvqw3f53ghw3r45 event_ts=2026-01-01T15:05:32.355163+00:00
2026-01-18 15:39:00,378 | INFO | tripclick-producer | progress sent=6000 topic=tripclick_raw_logs last_session=p0fkm2a4g2uenh45f3ymke45 event_ts=2026-01-01T15:06:19.155494+00:00
2026-01-18 15:39:00,445 | INFO | tripclick-producer | progress sent=7000 topic=tripclick_raw_logs last_session=by3aj155qyq1l2ynkvkyjvvj event_ts=2026-01-01T15:07:15.901051+00:00
2026-01-18 15:39:00,524 | INFO | tripclick-producer | progress sent=8000 topic=tripclick_raw_logs last_session=uy50stn2mhyrty203aidk245 event_ts=2026-01-01T15:08:33.486516+00:00
2026-01-18 15:39:00,590 | INFO | tripclick-producer | progress sent=9000 topic=tripclick_raw_logs last_session=l4ewzs553p5wgx451ajjzb45 event_ts=2026-01-01T15:09:17.482605+00:00
2026-01-18 15:39:00,697 | INFO | tripclick-producer | progress sent=10000 topic=tripclick_raw_logs last_session=25txvv45g3ve3z45agyfjhbg event_ts=2026-01-01T15:09:59.884799+00:00
2026-01-18 15:39:00,776 | INFO | tripclick-producer | progress sent=11000 topic=tripclick_raw_logs last_session=vtjgaf45vldvys55wgxd2dzz event_ts=2026-01-01T15:10:46.267318+00:00
2026-01-18 15:39:00,843 | INFO | tripclick-producer | progress sent=12000 topic=tripclick_raw_logs last_session=ucdkhznfwuptcizfoirfchqz event_ts=2026-01-01T15:11:27.619697+00:00
2026-01-18 15:39:00,922 | INFO | tripclick-producer | progress sent=13000 topic=tripclick_raw_logs last_session=nu4cxb450jrmj445ja4p33b2 event_ts=2026-01-01T15:12:34.109669+00:00
2026-01-18 15:39:00,988 | INFO | tripclick-producer | progress sent=14000 topic=tripclick_raw_logs last_session=t5idxv55nhwps3ijvfwpbu33 event_ts=2026-01-01T15:13:27.382181+00:00
2026-01-18 15:39:01,055 | INFO | tripclick-producer | progress sent=15000 topic=tripclick_raw_logs last_session=y5ljk145jyesdj55baivzijh event_ts=2026-01-01T15:14:03.031349+00:00
2026-01-18 15:39:01,134 | INFO | tripclick-producer | progress sent=16000 topic=tripclick_raw_logs last_session=m4bau2uzomxg1om2ohkgtxny event_ts=2026-01-01T15:14:44.823027+00:00
2026-01-18 15:39:01,229 | INFO | tripclick-producer | progress sent=17000 topic=tripclick_raw_logs last_session=nhx2rl45vcv3t4bs2vtfpy45 event_ts=2026-01-01T15:15:23.954842+00:00
2026-01-18 15:39:01,296 | INFO | tripclick-producer | progress sent=18000 topic=tripclick_raw_logs last_session=kyjdth45y4pvuc55j5ceh5na event_ts=2026-01-01T15:16:05.990678+00:00
2026-01-18 15:39:01,363 | INFO | tripclick-producer | progress sent=19000 topic=tripclick_raw_logs last_session=2ybf22riblrsapizrgw03rei event_ts=2026-01-01T15:17:20.964060+00:00
2026-01-18 15:39:01,442 | INFO | tripclick-producer | progress sent=20000 topic=tripclick_raw_logs last_session=pf2rmw55zrwomsr2ja0jfp45 event_ts=2026-01-01T15:18:06.160993+00:00
2026-01-18 15:39:01,509 | INFO | tripclick-producer | progress sent=21000 topic=tripclick_raw_logs last_session=gvfmzhvnwl3yoy45s20y5345 event_ts=2026-01-01T15:18:49.552050+00:00
2026-01-18 15:39:01,588 | INFO | tripclick-producer | progress sent=22000 topic=tripclick_raw_logs last_session=hdaid155552oj455cnwaym3v event_ts=2026-01-01T15:19:30.764188+00:00
2026-01-18 15:39:01,655 | INFO | tripclick-producer | progress sent=23000 topic=tripclick_raw_logs last_session=ypqksp55ea14oj55uqn4tjun event_ts=2026-01-01T15:20:24.241406+00:00
2026-01-18 15:39:01,752 | INFO | tripclick-producer | progress sent=24000 topic=tripclick_raw_logs last_session=2sqq3l45yaouox45ux4zeq55 event_ts=2026-01-01T15:21:22.601519+00:00
2026-01-18 15:39:01,818 | INFO | tripclick-producer | progress sent=25000 topic=tripclick_raw_logs last_session=cm1kkz45itnpiy55hm5co345 event_ts=2026-01-01T15:22:32.020371+00:00
